symbol,isin,name,currency,size,domicile,exchange,instrument,ter,ticker,wkn
LU2109787049,LU2109787049,Amundi MSCI Emerging Markets ESG Broad Transition UCITS ETF DR (C),USD,1117.0,Luxembourg,"gettex, XETRA, Euronext Paris, SIX Swiss Exchange, Borsa Italiana",ETF,0.18,SBIM,A2PZC5
IE00B1TXHL60,IE00B1TXHL60,iShares Listed Private Equity UCITS ETF USD (Dist),USD,1114.0,Ireland,"gettex, XETRA, London, Stuttgart, SIX Swiss Exchange, Euronext Amsterdam",ETF,0.75,IQQL,A0MM0N
IE00BK5BCD43,IE00BK5BCD43,L&G Artificial Intelligence UCITS ETF,USD,1110.0,Ireland,"gettex, XETRA, London, SIX Swiss Exchange, Borsa Italiana",ETF,0.49,XMLD,A2PM50
IE00BFMXYX26,IE00BFMXYX26,Vanguard FTSE Japan UCITS ETF (USD) Accumulating,USD,1108.0,Ireland,"gettex, XETRA, London, SIX Swiss Exchange, Borsa Italiana",ETF,0.1,VJPA,A2PLS8
IE00BQQP9G91,IE00BQQP9G91,VanEck Junior Gold Miners UCITS,USD,1105.0,Ireland,"gettex, XETRA, London, Euronext Paris, Stuttgart, SIX Swiss Exchange, Borsa Italiana",ETF,0.55,G2XJ,A12CCM
IE00BF16M727,IE00BF16M727,First Trust Nasdaq Cybersecurity UCITS ETF Acc,USD,1104.0,Ireland,"gettex, XETRA, London, SIX Swiss Exchange, Borsa Italiana",ETF,0.6,CBRS,A2P4HV
LU1708330235,LU1708330235,Amundi Core Global Government Bond UCITS ETF EUR Hedged Acc,EUR,1101.0,Luxembourg,"gettex, XETRA, Euronext Paris, Borsa Italiana",ETF,0.22,A4HD,A2H56U
FR0010361683,FR0010361683,Amundi MSCI India Swap UCITS ETF EUR Acc,EUR,1094.0,France,"gettex, XETRA, Euronext Paris, Stuttgart, SIX Swiss Exchange, Borsa Italiana",ETF,0.85,LYMD,LYX0BA
LU1681045453,LU1681045453,Amundi MSCI Emerging Markets Swap UCITS ETF USD Acc,USD,1090.0,Luxembourg,"gettex, London, Euronext Paris, SIX Swiss Exchange",ETF,0.2,X9I1,A2H58K
IE00B14X4M10,IE00B14X4M10,iShares MSCI North America UCITS ETF,USD,1085.0,Ireland,"gettex, XETRA, London, Stuttgart, SIX Swiss Exchange, Borsa Italiana, Euronext Amsterdam",ETF,0.4,IQQN,A0J201
LU1650491282,LU1650491282,Amundi Euro Government Inflation-Linked Bond UCITS ETF Acc,EUR,1084.0,Luxembourg,"gettex, XETRA, London, Euronext Paris, Stuttgart, Borsa Italiana",ETF,0.09,LYQ7,LYX0XL
IE00B44T3H88,IE00B44T3H88,HSBC MSCI China UCITS ETF USD,USD,1079.0,Ireland,"gettex, XETRA, London, Euronext Paris, Stuttgart, SIX Swiss Exchange, Borsa Italiana",ETF,0.28,H4ZP,A1JHYT
IE00B4L5ZY03,IE00B4L5ZY03,iShares EUR Corporate Bond ex-Financials 1-5yr ESG SRI UCITS ETF EUR (Dist),EUR,1077.0,Ireland,"gettex, XETRA, Stuttgart, SIX Swiss Exchange",ETF,0.2,EUNS,A0RPWP
IE000UL6CLP7,IE000UL6CLP7,Global X Silver Miners UCITS ETF USD Accumulating,USD,1076.0,Ireland,"gettex, XETRA, London, SIX Swiss Exchange, Borsa Italiana",ETF,0.65,SLVR,A3DC8R
IE00B53QDK08,IE00B53QDK08,iShares MSCI Japan UCITS ETF USD (Acc),USD,1071.0,Ireland,"gettex, XETRA, London, Stuttgart, SIX Swiss Exchange, Borsa Italiana, Euronext Amsterdam",ETF,0.12,SXR5,A0YEDV
IE00BZ1NCS44,IE00BZ1NCS44,iShares Bloomberg Roll Select Commodity Swap UCITS ETF USD,USD,1070.0,Ireland,"gettex, London",ETF,0.28,IS39,A2JQ2G
LU0659579733,LU0659579733,Xtrackers MSCI World Swap UCITS ETF 4C EUR hedged,EUR,1069.0,Luxembourg,"gettex, XETRA, Stuttgart, Borsa Italiana",ETF,0.39,XWEH,DBX0KQ
LU1399300455,LU1399300455,Xtrackers II US Treasuries UCITS ETF 2D - EUR Hedged,EUR,1066.0,Luxembourg,"gettex, XETRA, Stuttgart, Borsa Italiana",ETF,0.1,XUTE,DBX0QG
IE00B3FH7618,IE00B3FH7618,iShares EUR Government Bond 0-1yr UCITS ETF,EUR,1061.0,Ireland,"gettex, XETRA, London, Stuttgart, Borsa Italiana, Euronext Amsterdam",ETF,0.07,EUN6,A0RGEL
IE00B4L5ZG21,IE00B4L5ZG21,iShares EUR Corporate Bond ex-Financials UCITS ETF EUR (Dist),EUR,1060.0,Ireland,"gettex, XETRA, London, Stuttgart, SIX Swiss Exchange, Borsa Italiana",ETF,0.2,EUNR,A0RPWN
IE00BFNM3N12,IE00BFNM3N12,iShares MSCI EM IMI Screened UCITS ETF USD (Dist),USD,1055.0,Ireland,"gettex, XETRA, London, Stuttgart",ETF,0.18,OM3Y,A2N6TJ
LU1931975152,LU1931975152,Amundi Prime Euro Government Bond UCITS ETF Dist,EUR,1053.0,Luxembourg,"gettex, XETRA, London, Stuttgart, Borsa Italiana, Euronext Amsterdam",ETF,0.05,PR1R,A2PBLP
LU0476289540,LU0476289540,Xtrackers MSCI Canada Screened UCITS ETF 1C 1C,USD,1051.0,Luxembourg,"gettex, XETRA, London, Stuttgart, SIX Swiss Exchange, Borsa Italiana",ETF,0.35,D5BH,DBX0ET
IE00BKSBGS44,IE00BKSBGS44,Fidelity US Equity Research Enhanced UCITS ETF ACC-USD,USD,1049.0,Ireland,"gettex, XETRA, London, SIX Swiss Exchange, Borsa Italiana",ETF,0.2,FUSR,A2P0ZN
IE00BK5BQY34,IE00BK5BQY34,Vanguard FTSE Developed Europe ex UK UCITS ETF (EUR) Accumulating,EUR,1048.0,Ireland,"gettex, XETRA, London, Stuttgart, Borsa Italiana",ETF,0.1,VERE,A2PLBL
IE00BF553838,IE00BF553838,iShares J.P. Morgan Advanced USD EM Bond UCITS ETF USD (Acc),USD,1047.0,Ireland,"gettex, London, SIX Swiss Exchange, Borsa Italiana, Euronext Amsterdam",ETF,0.45,SLME,A2N5WA
IE00B466KX20,IE00B466KX20,SPDR MSCI EM Asia UCITS ETF,USD,1045.0,Ireland,"gettex, XETRA, London, Stuttgart, SIX Swiss Exchange, Borsa Italiana",ETF,0.55,SPYA,A1JJTG
