isin,ticker,exchange,name,currency,ter
IE00BKM4GZ66,EIMI,SIX Swiss Exchange,iShares Core MSCI Emerging Markets IMI UCITS ETF (Acc),USD,0.18
IE00BKM4GZ66,IS3N,XETRA,iShares Core MSCI Emerging Markets IMI UCITS ETF (Acc),EUR,0.18
IE00BK5BQT80,VWCE,gettex,Vanguard FTSE All-World UCITS ETF (USD) Accumulating,EUR,0.19
IE00BK5BQT80,VWCE,Stuttgart Stock Exchange,Vanguard FTSE All-World UCITS ETF (USD) Accumulating,EUR,0.19
IE00BK5BQT80,VWCE,Borsa Italiana,Vanguard FTSE All-World UCITS ETF (USD) Accumulating,EUR,0.19
IE00BK5BQT80,VWCE,Euronext Amsterdam,Vanguard FTSE All-World UCITS ETF (USD) Accumulating,EUR,0.19
IE00BK5BQT80,VWRA,London Stock Exchange,Vanguard FTSE All-World UCITS ETF (USD) Accumulating,USD,0.19
IE00BK5BQT80,VWRP,London Stock Exchange,Vanguard FTSE All-World UCITS ETF (USD) Accumulating,GBP,0.19
IE00BK5BQT80,VWRA,SIX Swiss Exchange,Vanguard FTSE All-World UCITS ETF (USD) Accumulating,CHF,0.19
IE00BK5BQT80,VWCE,XETRA,Vanguard FTSE All-World UCITS ETF (USD) Accumulating,EUR,0.19
IE00BFMXXD54,VUAA,gettex,Vanguard S&P 500 UCITS ETF (USD) Accumulating,EUR,0.07
IE00BFMXXD54,VUAA,Borsa Italiana,Vanguard S&P 500 UCITS ETF (USD) Accumulating,EUR,0.07
IE00BFMXXD54,VUAA,London Stock Exchange,Vanguard S&P 500 UCITS ETF (USD) Accumulating,USD,0.07
IE00BFMXXD54,VUAG,London Stock Exchange,Vanguard S&P 500 UCITS ETF (USD) Accumulating,GBP,0.07
IE00BFMXXD54,VUAA,XETRA,Vanguard S&P 500 UCITS ETF (USD) Accumulating,EUR,0.07
IE00B579F325,SGLD,SIX Swiss Exchange,Invesco Physical Gold A,USD,0.12
IE00B579F325,SGLD,Euronext Amsterdam,Invesco Physical Gold A,EUR,0.12
IE00B579F325,SGLD,Borsa Italiana,Invesco Physical Gold A,EUR,0.12
IE00B579F325,SGLP,London Stock Exchange,Invesco Physical Gold A,GBX,0.12
IE00B579F325,SGLD,London Stock Exchange,Invesco Physical Gold A,USD,0.12
IE00B579F325,8PSG,XETRA,Invesco Physical Gold A,EUR,0.12
IE00B579F325,8PSG,gettex,Invesco Physical Gold A,EUR,0.12
IE00B6R52259,SSAC,London Stock Exchange,iShares MSCI ACWI UCITS ETF USD (Acc),GBX,0.2
IE00B6R52259,IUSQ,gettex,iShares MSCI ACWI UCITS ETF USD (Acc),EUR,0.2
IE00B6R52259,IUSQ,Stuttgart Stock Exchange,iShares MSCI ACWI UCITS ETF USD (Acc),EUR,0.2
IE00B6R52259,ISAC,Borsa Italiana,iShares MSCI ACWI UCITS ETF USD (Acc),EUR,0.2
IE00B6R52259,SSAC,Euronext Amsterdam,iShares MSCI ACWI UCITS ETF USD (Acc),EUR,0.2
IE00B6R52259,ISAC,London Stock Exchange,iShares MSCI ACWI UCITS ETF USD (Acc),USD,0.2
IE00B6R52259,SSAC,SIX Swiss Exchange,iShares MSCI ACWI UCITS ETF USD (Acc),CHF,0.2
IE00B6R52259,IUSQ,XETRA,iShares MSCI ACWI UCITS ETF USD (Acc),EUR,0.2
DE000A0S9GB0,4GLD,XETRA,Xetra-Gold,EUR,0.0
DE000A0S9GB0,4GLD,gettex,Xetra-Gold,EUR,0.0
DE000A0S9GB0,4GLD,Stuttgart Stock Exchange,Xetra-Gold,EUR,0.0
IE00B53SZB19,CNX1,London Stock Exchange,iShares Nasdaq 100 UCITS ETF (Acc),GBX,0.3
IE00B53SZB19,SXRV,gettex,iShares Nasdaq 100 UCITS ETF (Acc),EUR,0.3
IE00B53SZB19,SXRV,Stuttgart Stock Exchange,iShares Nasdaq 100 UCITS ETF (Acc),EUR,0.3
IE00B53SZB19,CSNDX,Borsa Italiana,iShares Nasdaq 100 UCITS ETF (Acc),EUR,0.3
IE00B53SZB19,CNDX,Euronext Amsterdam,iShares Nasdaq 100 UCITS ETF (Acc),EUR,0.3
IE00B53SZB19,CNDX,London Stock Exchange,iShares Nasdaq 100 UCITS ETF (Acc),USD,0.3
IE00B53SZB19,CSNDX,SIX Swiss Exchange,iShares Nasdaq 100 UCITS ETF (Acc),USD,0.3
IE00B53SZB19,SXRV,XETRA,iShares Nasdaq 100 UCITS ETF (Acc),EUR,0.3
IE00B3RBWM25,VWRL,Euronext Paris,Vanguard FTSE All-World UCITS ETF (USD) Distributing,EUR,0.19
IE00B3RBWM25,VGWL,gettex,Vanguard FTSE All-World UCITS ETF (USD) Distributing,EUR,0.19
IE00B3RBWM25,VGWL,Stuttgart Stock Exchange,Vanguard FTSE All-World UCITS ETF (USD) Distributing,EUR,0.19
IE00B3RBWM25,VWRL,Borsa Italiana,Vanguard FTSE All-World UCITS ETF (USD) Distributing,EUR,0.19
IE00B3RBWM25,VWRL,Euronext Amsterdam,Vanguard FTSE All-World UCITS ETF (USD) Distributing,EUR,0.19
IE00B3RBWM25,VWRD,London Stock Exchange,Vanguard FTSE All-World UCITS ETF (USD) Distributing,USD,0.19
IE00B3RBWM25,VWRL,London Stock Exchange,Vanguard FTSE All-World UCITS ETF (USD) Distributing,GBP,0.19
IE00B3RBWM25,VWRL,SIX Swiss Exchange,Vanguard FTSE All-World UCITS ETF (USD) Distributing,CHF,0.19
IE00B3RBWM25,VGWL,XETRA,Vanguard FTSE All-World UCITS ETF (USD) Distributing,EUR,0.19
LU0290358497,XEON,gettex,Xtrackers II EUR Overnight Rate Swap UCITS ETF 1C,EUR,0.1
LU0290358497,XEON,Borsa Italiana,Xtrackers II EUR Overnight Rate Swap UCITS ETF 1C,EUR,0.1
LU0290358497,XEON,SIX Swiss Exchange,Xtrackers II EUR Overnight Rate Swap UCITS ETF 1C,EUR,0.1
LU0290358497,DBXT,Stuttgart Stock Exchange,Xtrackers II EUR Overnight Rate Swap UCITS ETF 1C,EUR,0.1
LU0290358497,XEON,XETRA,Xtrackers II EUR Overnight Rate Swap UCITS ETF 1C,EUR,0.1
IE0031442068,IUSA,London Stock Exchange,iShares Core S&P 500 UCITS ETF USD (Dist),GBX,0.07
IE0031442068,IUSA,gettex,iShares Core S&P 500 UCITS ETF USD (Dist),EUR,0.07
IE0031442068,IUSA,Stuttgart Stock Exchange,iShares Core S&P 500 UCITS ETF USD (Dist),EUR,0.07
IE0031442068,IUSA,Borsa Italiana,iShares Core S&P 500 UCITS ETF USD (Dist),EUR,0.07
IE0031442068,IUSA,Euronext Amsterdam,iShares Core S&P 500 UCITS ETF USD (Dist),EUR,0.07
IE0031442068,IDUS,London Stock Exchange,iShares Core S&P 500 UCITS ETF USD (Dist),USD,0.07
IE0031442068,IUSA,SIX Swiss Exchange,iShares Core S&P 500 UCITS ETF USD (Dist),USD,0.07
IE0031442068,IUSA,XETRA,iShares Core S&P 500 UCITS ETF USD (Dist),EUR,0.07
IE00BJ0KDQ92,XDWD,gettex,Xtrackers MSCI World UCITS ETF 1C,EUR,0.12
IE00BJ0KDQ92,XDWD,Stuttgart Stock Exchange,Xtrackers MSCI World UCITS ETF 1C,EUR,0.12
IE00BJ0KDQ92,XDWD,Borsa Italiana,Xtrackers MSCI World UCITS ETF 1C,EUR,0.12
IE00BJ0KDQ92,XWLD,London Stock Exchange,Xtrackers MSCI World UCITS ETF 1C,GBX,0.12
IE00BJ0KDQ92,XDWD,London Stock Exchange,Xtrackers MSCI World UCITS ETF 1C,USD,0.12
IE00BJ0KDQ92,XDWD,SIX Swiss Exchange,Xtrackers MSCI World UCITS ETF 1C,CHF,0.12
IE00BJ0KDQ92,-,Stockholm Stock Exchange,Xtrackers MSCI World UCITS ETF 1C,SEK,0.12
IE00BJ0KDQ92,XDWD,XETRA,Xtrackers MSCI World UCITS ETF 1C,EUR,0.12
IE0005042456,ISF,London Stock Exchange,iShares Core FTSE 100 UCITS ETF GBP (Dist),GBX,0.07
IE0005042456,IUSZ,gettex,iShares Core FTSE 100 UCITS ETF GBP (Dist),EUR,0.07
IE0005042456,IUSZ,Stuttgart Stock Exchange,iShares Core FTSE 100 UCITS ETF GBP (Dist),EUR,0.07
IE0005042456,-,BATS Chi-X Europe,iShares Core FTSE 100 UCITS ETF GBP (Dist),USD,0.07
