isin,listing,trade_currency,ticker,reuters_ric,bloomberg,market_maker
IE00BJ0KDQ92,London Stock Exchange,USD,XDWD,XDWD.L X2IGINAV.DE,XDWD LN XDWDINVU,
IE00BJ0KDQ92,SIX Swiss Exchange,CHF,XDWD,XDWD.S,XDWD SW,
IE00BJ0KDQ92,SIX Swiss Exchange,USD,XDWD,,,
IE00BJ0KDQ92,Stockholm Stock Exchange,SEK,-,XDWD.ST,XDWD SS,
IE00BJ0KDQ92,XETRA,EUR,XDWD,XDWD.DE,XDWD GY,
IE0005042456,London Stock Exchange,GBX,ISF,- -,- -,-
IE0005042456,gettex,EUR,IUSZ,- -,- -,-
IE0005042456,Stuttgart Stock Exchange,EUR,IUSZ,- -,- -,-
IE0005042456,BATS Chi-X Europe,USD,-,ISFl.CHI,ISF IX,
IE0005042456,Chi-X Europe,USD,-,,,
IE0005042456,Bolsa Mexicana de Valores,MXN,-,ISFN.MX,ISF MM,
IE0005042456,Borsa Italiana,EUR,ISF,ISF.MI ISFINAV.DE,ISF IM BEIFISFA,
IE0005042456,Euronext Amsterdam,EUR,ISFA,ISFA.AS ISFINAV.DE,ISFA NA BEIFISFA,
IE0005042456,London Stock Exchange,USD,ISFU,ISFU.L ISFUSDINAV.DE,ISFU LN NAV100U,
IE0005042456,London Stock Exchange,GBP,-,ISF.L ISFGBPINAV.DE,ISF LN BEIFT100,
IE0005042456,SIX Swiss Exchange,CHF,ISF,ISF.S ISFCHFINAV.DE,ISF SE INAV100C,
IE0005042456,XETRA,EUR,IUSZ,IUSZ.DE ISFGBPINAV.DE,IUSZ GY BEIFT100,
IE00BGSF1X88,gettex,EUR,IBC1,- -,- -,-
IE00BGSF1X88,Bolsa Mexicana de Valores,MXN,-,IB01N.MX,IB01N MM,
IE00BGSF1X88,London Stock Exchange,USD,IB01,IB01.L 0XR4INAV.DE,IB01 LN INAVIB0U,
IE00BGSF1X88,SIX Swiss Exchange,USD,IB01,IB01.S 0XR4INAV.DE,IB01 SE INAVIB0U,
IE00B6YX5C33,gettex,EUR,SPY5,- -,- -,-
IE00B6YX5C33,Stuttgart Stock Exchange,EUR,SPY5,- -,- -,-
IE00B6YX5C33,Borsa Italiana,EUR,SPY5,SPY5.MI,SPY5 IM INSPY5E,BNP Flow Traders Hudson River Jane Street Optiver Societe Generale Virtu
IE00B6YX5C33,Euronext Paris,EUR,SPY5,SPY5.PA,SPY5 FP INSPY5E,BAADER BANK BNP DRW Flow Traders Optiver Societe Generale Virtu
IE00B6YX5C33,London Stock Exchange,USD,SPY5,SPY5.L,SPY5 LN INSPY5,BAADER BANK AG BNP Flow Traders Old Mission Europe LLP Optiver Societe Generale Virtu Winterflood
IE00B6YX5C33,London Stock Exchange,GBP,SPX5,SPX5.L,SPX5 LN INSPY5P,BAADER BANK AG BNP Flow Traders Old Mission Europe LLP Optiver Societe Generale Virtu Winterflood
IE00B6YX5C33,SIX Swiss Exchange,USD,SPY5,SPY5USD.S,SPY5USD SE INSPY5,BNP Finovesta Flow Traders Jane Street Optiver Société Générale Virtu
IE00B6YX5C33,SIX Swiss Exchange,CHF,SPY5,SPY5.S,SPY5 SE INSPY5C,BNP Finovesta Flow Traders Jane Street Optiver Société Générale Virtu
IE00B6YX5C33,XETRA,EUR,SPY5,SPY5.DE,SPY5 GY INSPY5E,BAADER BANK AG BNP Flow Traders Optiver Societe Generale
LU0908500753,gettex,EUR,LYP6,- -,- -,-
LU0908500753,Stuttgart Stock Exchange,EUR,LYP6,- -,- -,-
LU0908500753,Bolsa Mexicana de Valores,MXN,-,MEUDN.MX,MEUDN MM,BNP Paribas Arbitrage
LU0908500753,Borsa Italiana,EUR,MEUD,,,Société Générale
LU0908500753,Borsa Italiana,EUR,-,MEUD.MI LYP6INAV=SOLA,MEUD IM LYP6IV,BNP Paribas Arbitrage
LU0908500753,Euronext Paris,EUR,MEUD,MEUD.PA LYP6INAV=SOLA,MEUD FP LYP6IV,BNP Paribas Arbitrage
LU0908500753,London Stock Exchange,GBX,MEUD,MEUD.L MEUDINAV=SOLA,MEUD LN MEUDIV,BNP Paribas Arbitrage
LU0908500753,London Stock Exchange,USD,MEUS,MEUS.L MEUSUSDINAV=SOLA,MEUS LN MEUSUSIV,BNP Paribas Arbitrage
LU0908500753,XETRA,EUR,LYP6,LYP6.DE LYP6INAV=SOLA,LYP6 GY LYP6IV,BNP Paribas Arbitrage
IE00BFNM3G45,gettex,EUR,SGAS,- -,- -,-
IE00BFNM3G45,London Stock Exchange,GBP,GPSA,- -,- -,-
IE00BFNM3G45,Stuttgart Stock Exchange,EUR,SGAS,- -,- -,-
IE00BFNM3G45,Bolsa Mexicana de Valores,MXN,-,SASUN.MX,SASUN MM,
IE00BFNM3G45,London Stock Exchange,USD,SASU,SASU.L 19I5INAV.DE,SASU LN INAVSASU,
IE00BFNM3G45,SIX Swiss Exchange,USD,SASU,SASU.S 19I5INAV.DE,SASU SE INAVSASU,
IE00BFNM3G45,XETRA,EUR,SGAS,SGAG.DE 19I1INAV.DE,SGAS GY INAVSASE,
IE00B4K48X80,London Stock Exchange,GBX,SMEA,- -,- -,-
IE00B4K48X80,gettex,EUR,EUNK,- -,- -,-
IE00B4K48X80,Stuttgart Stock Exchange,EUR,EUNK,- -,- -,-
IE00B4K48X80,Bolsa Mexicana de Valores,MXN,-,EUNKN.MX,IMEAN MM,
IE00B4K48X80,Borsa Italiana,EUR,SMEA,SMEA.MI IMACEUR.DE,SMEA IM INAVIMEE,
IE00B4K48X80,Euronext Amsterdam,EUR,IMAE,IMAE.AS IMACEUR.DE,IMAE NA INAVIMEE,
IE00B4K48X80,London Stock Exchange,GBP,-,SMEA.L IMACGBP.DE,SMEA LN INAVIMEG,
IE00B4K48X80,London Stock Exchange,EUR,IMEA,IMACEUR.DE,IMEA LN INAVIMEE,
IE00B4K48X80,SIX Swiss Exchange,CHF,IMEA,IMEA.S IMACCHF.DE,IMEA SE INAVIMEC,
IE00B4K48X80,XETRA,EUR,EUNK,EUNK.DE IMACEUR.DE,EUNK GY INAVIMEE,
IE00BFY0GT14,gettex,EUR,SPPW,- -,- -,-
IE00BFY0GT14,Borsa Italiana,EUR,SWRD,SWRD.MI,SWRD IM INSPPWE,BNP DRW Flow Traders Jane Street Optiver Societe Generale Virtu
IE00BFY0GT14,Euronext Amsterdam,EUR,SWRD,SWRD.AS,SWRD NA INSPPWE,BAADER BANK BNP DRW Flow Traders Optiver Societe Generale Virtu
IE00BFY0GT14,London Stock Exchange,USD,SWRD,SWRD.L,SWRD LN INSPPW,BAADER BANK AG BNP DRW Flow Traders Old Mission Europe LLP Optiver Societe Generale Virtu
IE00BFY0GT14,London Stock Exchange,GBP,SWLD,SWLD.L,SWLD LN INSPPWP,BAADER BANK AG BNP DRW Flow Traders Old Mission Europe LLP Optiver Societe Generale Virtu
IE00BFY0GT14,SIX Swiss Exchange,USD,SWRD,SWRD.S,SWRD SE INSPPW,BNP Finovesta Flow Traders Jane Street Optiver Société Générale
IE00BFY0GT14,XETRA,EUR,SPPW,SPPW.DE,SPPW GY INSPPWE,BAADER BANK AG BNP Flow Traders Optiver
IE00BHZPJ890,gettex,EUR,OM3L,- -,- -,-
IE00BHZPJ890,London Stock Exchange,GBP,EEDG,- -,- -,-
IE00BHZPJ890,Stuttgart Stock Exchange,EUR,OM3L,- -,- -,-
IE00BHZPJ890,London Stock Exchange,USD,EEDS,EEDS.L 0XVJINAV.DE,EEDS LN INAVEE15,
IE00BHZPJ890,XETRA,EUR,OM3L,OM3L.DE,OM3L GY,
IE00B3WJKG14,London Stock Exchange,GBX,IITU,- -,- -,-
IE00B3WJKG14,gettex,EUR,QDVE,- -,- -,-
IE00B3WJKG14,Stuttgart Stock Exchange,EUR,QDVE,- -,- -,-
IE00B3WJKG14,Bolsa Mexicana de Valores,MXN,-,IUITN.MX,IUITN MM,
IE00B3WJKG14,London Stock Exchange,USD,IUIT,IITU.L 421DINAV.DE,IUIT LN INAVIITU,
IE00B3WJKG14,London Stock Exchange,GBP,-,IUIT.L 421BINAV.DE,IITU LN INAVIITG,
IE00B3WJKG14,SIX Swiss Exchange,USD,IUIT,IUIT.S 421DINAV.DE,IUIT SE INAVIITU,
IE00B3WJKG14,XETRA,EUR,QDVE,QDVE.DE 3090INAV.DE,QDVE GY INAVIITE,
