symbol,isin,name,currency,size,domicile,exchange,instrument,ter,ticker,wkn
IE00B4QNJJ23,IE00B4QNJJ23,L&G FTSE 100 Leveraged (Daily 2x) UCITS ETF,GBP,24,Ireland,London,ETF,0.5,LUK2,A1C1S0
IE00B4QNHZ41,IE00B4QNHZ41,L&G DAX Daily 2x Short UCITS ETF,EUR,24,Ireland,"gettex, XETRA, London, Borsa Italiana",ETF,0.6,DES2,A0X896
JE00B2NFV803,JE00B2NFV803,WisdomTree Cocoa 2x Daily Leveraged,USD,23,Jersey,"gettex, XETRA, London, Borsa Italiana",ETC,0.98,4RUP,A0V607
XS2595672036,XS2595672036,Leverage Shares 5x Long 20+ Year Treasury Bond ETP,USD,23,Ireland,"gettex, XETRA, London",ETN,0.75,TLT5,A3G4XP
LU2572257041,LU2572257041,Amundi ShortDAX Daily (-1x) Inverse UCITS ETF - Dist,EUR,23,Luxembourg,"gettex, XETRA",ETF,0.3,AHYK,ETF017
FR0010869578,FR0010869578,Amundi German Bund Daily (-2x) Inverse UCITS ETF Acc,EUR,21,France,"gettex, XETRA, Euronext Paris, Stuttgart, Borsa Italiana",ETF,0.2,LYQK,LYX0FW
LU2018762901,LU2018762901,Amundi US Curve steepening 2-10Y UCITS ETF GBP Hedged Dist,GBP,20,Luxembourg,London,ETF,0.35,STPH,ETF086
LU0321462870,LU0321462870,Xtrackers iTraxx Crossover Short Daily Swap UCITS ETF 1C,EUR,20,Luxembourg,"gettex, XETRA, Stuttgart, Borsa Italiana",ETF,0.24,XTC5,DBX0AU
XS2901882618,XS2901882618,Leverage Shares 3x Long MicroStrategy (MSTR) ETP,USD,19,Ireland,"gettex, XETRA, London, Borsa Italiana",ETN,0.75,MST3,A4A52Z
IE00B8GKPP93,IE00B8GKPP93,WisdomTree DAX 3x Daily Short,EUR,19,Ireland,"gettex, XETRA, London, Borsa Italiana",ETN,0.8,3DES,A1VBKG
IE00BMC5DW92,IE00BMC5DW92,UBS CMCI Commodity Carry SF UCITS ETF hCHF acc,CHF,18,Ireland,SIX Swiss Exchange,ETF,0.34,COSIC,A2P2W5
LU2090062600,LU2090062600,Amundi LevDax Daily (2x) leveraged UCITS ETF Dist,EUR,17,Luxembourg,"gettex, XETRA",ETF,0.35,LVDX,LYX04V
XS2337090422,XS2337090422,Leverage Shares 3x AMD ETP,USD,16,Ireland,"gettex, XETRA, London, Euronext Paris, Borsa Italiana, Euronext Amsterdam",ETN,0.75,AMU3,A3GUEX
XS2819844387,XS2819844387,WisdomTree WTI Crude Oil 3x Daily Short,USD,16,Ireland,"gettex, XETRA, London, Borsa Italiana",ETC,0.99,3SOI,A4AGV3
IE00BYTYHN28,IE00BYTYHN28,WisdomTree Emerging Markets 3x Daily Leveraged,USD,15,Ireland,"gettex, XETRA, London, Borsa Italiana",ETN,0.99,3E3M,A2BCZZ
IE00BK5BZX59,IE00BK5BZX59,Leverage Shares 3x Alphabet ETP,USD,14,Ireland,"gettex, XETRA, London, Euronext Paris, Borsa Italiana, Euronext Amsterdam",ETN,0.75,3GGL,A3GSVQ
IE00B6X4BP29,IE00B6X4BP29,WisdomTree Gold 3x Daily Short,USD,13,Ireland,"gettex, XETRA, London, Borsa Italiana",ETC,0.99,PCFN,A1VBKD
IE00B8JG1787,IE00B8JG1787,WisdomTree Silver 3x Daily Short,USD,13,Ireland,"gettex, XETRA, London, Borsa Italiana",ETC,0.99,PCFG,A1VBAP
XS2435550947,XS2435550947,GraniteShares 3x Long UniCredit Daily ETP,EUR,12,Ireland,Borsa Italiana,ETN,0.99,3LCR,
IE00B8JF9153,IE00B8JF9153,WisdomTree EURO STOXX 50® 3x Daily Short,EUR,12,Ireland,"gettex, XETRA, London, Euronext Paris, Borsa Italiana",ETN,0.8,PCFC,A1VBKH
JE00B2NFTF36,JE00B2NFTF36,WisdomTree Copper 2x Daily Leveraged,USD,12,Jersey,"gettex, XETRA, London, Borsa Italiana",ETC,0.98,4RT3,A0V6ZW
IE00B4QNK008,IE00B4QNK008,L&G FTSE 100 Super Short Strategy (Daily 2x) UCITS ETF,GBP,12,Ireland,London,ETF,0.6,SUK2,A0YJ6H
XS3069873134,XS3069873134,GraniteShares 3x Short MicroStrategy Daily ETP,USD,11,Ireland,"London, Borsa Italiana",ETN,0.99,3SMI,
LU0321463258,LU0321463258,Xtrackers Short iBoxx EUR Sovereigns Eurozone Daily Swap UCITS ETF 1C,EUR,11,Luxembourg,"gettex, XETRA, Stuttgart, Borsa Italiana",ETF,0.15,DXSV,DBX0AW
